ID,Date,Time,Fo,Fm,FvFm
Acr1,21.06.2021,12:11:03,0.416,1.05,0.604
Acr2,21.06.2021,12:12:33,0.877,2.203,0.602
Acr3,21.06.2021,12:14:03,0.089,0.235,0.621
Acr4,21.06.2021,12:15:33,0.083,0.218,0.619
Acr5,21.06.2021,12:17:03,0.06,0.153,0.608
acr6,21.06.2021,12:18:33,0.338,0.856,0.605
Acr7,21.06.2021,12:20:03,0.092,0.232,0.603
Acr8,21.06.2021,12:21:33,0.289,0.728,0.603
Acr9,21.06.2021,12:23:03,0.719,1.81,0.603
Acr10,21.06.2021,12:24:33,0.687,1.793,0.617
Acr11,21.06.2021,12:26:03,0.608,1.534,0.604
Acr12,21.06.2021,12:27:33,0.731,1.838,0.602
Acr13,21.06.2021,12:29:03,0.655,1.703,0.615
Acr14,21.06.2021,12:30:33,0.62,1.562,0.603
Acr15,21.06.2021,12:32:03,0.1,0.258,0.612
Acr16,21.06.2021,12:33:33,0.052,0.132,0.606
Acr17,21.06.2021,12:35:03,0.03,0.087,0.655
Acr18,21.06.2021,12:36:33,0.058,0.147,0.605
Acr19,21.06.2021,12:38:03,0.674,1.719,0.608
Acr 20,21.06.2021,12:39:33,0.066,0.167,0.605
Acr21,21.06.2021,12:41:03,0.066,0.18,0.633
Acr22,21.06.2021,12:42:33,0.363,0.831,0.563
Acr23,21.06.2021,12:44:03,0.381,0.85,0.552
Acr24,21.06.2021,12:45:33,0.238,0.48,0.504
Acr25,21.06.2021,12:47:03,0.292,0.608,0.52
Acr26,21.06.2021,12:48:33,0.835,1.837,0.545
Acr27,21.06.2021,12:50:03,0.74,1.69,0.562
Acr28,21.06.2021,12:51:33,0.574,1.349,0.574
Acr29,21.06.2021,12:53:03,1.139,2.629,0.567
Acr30,21.06.2021,12:54:33,0.088,0.177,0.503
Acr31,21.06.2021,12:56:03,0.096,0.215,0.553
Acr32,21.06.2021,12:57:33,0.521,1.246,0.582
Acr33,21.06.2021,12:59:03,0.483,1.137,0.575
Acr34,21.06.2021,13:00:33,0.259,0.621,0.583
Acr35,21.06.2021,13:02:03,0.236,0.536,0.56
Acr36,21.06.2021,13:03:33,0.366,0.858,0.573
Acr37,21.06.2021,13:05:03,0.386,0.844,0.543
Acr38,21.06.2021,13:06:33,0.232,0.523,0.556
Acr399,21.06.2021,13:08:03,0.311,0.663,0.531
Acr40,21.06.2021,13:09:33,0.809,1.852,0.563
Acr41,21.06.2021,13:11:03,0.794,1.9,0.582
Acr42,21.06.2021,13:12:33,0.707,1.636,0.568
Poc1,21.06.2021,13:14:03,0.791,1.993,0.603
Poc2,21.06.2021,13:15:33,0.041,0.11,0.627
Poc3,21.06.2021,13:17:03,0.026,0.067,0.612
Poc4,21.06.2021,13:18:33,0.032,0.083,0.614
Poc5,21.06.2021,13:20:03,0.075,0.195,0.615
Poc6,21.06.2021,13:21:33,0.306,0.805,0.62
Poc7,21.06.2021,13:23:03,0.367,1.034,0.645
Poc8,21.06.2021,13:24:33,0.474,1.373,0.655
Poc9,21.06.2021,13:26:03,0.465,1.316,0.647
Poc10,21.06.2021,13:27:33,0.423,1.276,0.668
Poc11,21.06.2021,13:29:03,0.03,0.086,0.651
P oc12,21.06.2021,13:30:33,0.013,0.057,0.772
Poc13,21.06.2021,13:32:03,0.011,0.047,0.766
Poc14,21.06.2021,13:33:33,0.02,0.085,0.765
Poc15,21.06.2021,13:35:03,0.024,0.089,0.73
Poc16,21.06.2021,13:36:33,0.22,0.62,0.645
Poc17,21.06.2021,13:38:03,0.158,0.459,0.656
Poc18,21.06.2021,13:39:33,0.132,0.339,0.611
Poc19,21.06.2021,13:41:03,0.138,0.367,0.624
Poc20,21.06.2021,13:42:33,0.203,0.607,0.666
Poc21,21.06.2021,13:44:03,0.227,0.608,0.627
Poc22,21.06.2021,13:45:33,0.652,1.539,0.576
Poc23,21.06.2021,13:47:03,0.626,1.383,0.547
Poc24,21.06.2021,13:48:33,0.087,0.209,0.584
Poc25,21.06.2021,13:50:03,0.084,0.19,0.558
Poc26,21.06.2021,13:51:33,0.083,0.162,0.488
Poc27,21.06.2021,13:53:03,0.065,0.126,0.484
Poc28,21.06.2021,13:54:33,0.343,0.793,0.567
Poc29,21.06.2021,13:56:03,0.492,1.17,0.579
Poc30,21.06.2021,13:57:33,0.419,0.998,0.58
Poc31,21.06.2021,13:59:03,0.439,1.061,0.586
Poc32,21.06.2021,14:00:33,0.356,0.807,0.559
Poc33,21.06.2021,14:02:03,0.353,0.825,0.572
Poc34,21.06.2021,14:03:33,0.311,0.714,0.564
Poc35,21.06.2021,14:05:03,0.401,0.937,0.572
Poc36,21.06.2021,14:06:33,0.392,0.917,0.573
Poc37 ,21.06.2021,14:08:03,0.703,1.587,0.557
Poc38,21.06.2021,14:09:33,0.515,1.131,0.545
Poc39,21.06.2021,14:11:03,0.567,1.238,0.542
Poc40,21.06.2021,14:12:33,0.81,1.916,0.577
Poc41,21.06.2021,14:14:03,0.06,0.125,0.52
Poc42,21.06.2021,14:15:33,0.049,0.096,0.49
Sty1,21.06.2021,14:17:03,0.267,0.74,0.639
Sty2,21.06.2021,14:18:33,0.255,0.711,0.641
Sty3,21.06.2021,14:20:03,0.278,0.815,0.659
Sty4,21.06.2021,14:21:33,0.752,1.881,0.6
Sty5,21.06.2021,14:23:03,0.876,2.541,0.655
Sty6,21.06.2021,14:24:33,0.504,1.519,0.668
Sty7,21.06.2021,14:26:03,0.051,0.17,0.7
Sty8,21.06.2021,14:27:33,0.09,0.258,0.651
Sty9,21.06.2021,14:29:03,0.069,0.183,0.623
Sty10,21.06.2021,14:30:33,0.048,0.138,0.652
Sty11,21.06.2021,14:32:03,0.069,0.178,0.612
Sty12,21.06.2021,14:33:33,0.362,0.964,0.624
Sty13,21.06.2021,14:35:03,0.17,0.473,0.641
Sty14,21.06.2021,14:36:33,0.33,0.878,0.624
Sty15,21.06.2021,14:38:03,0.469,1.247,0.624
Sty16,21.06.2021,14:39:33,0.333,0.908,0.633
Sty17,21.06.2021,14:41:03,0.349,0.997,0.65
Sty18,21.06.2021,14:42:33,0.347,1.043,0.667
Sty19,21.06.2021,14:44:03,0.334,0.942,0.645
Sty20,21.06.2021,14:45:33,0.34,0.9,0.622
Sty21,21.06.2021,14:47:03,0.359,0.942,0.619
Sty22,21.06.2021,14:48:33,0.089,0.174,0.489
Sty23,21.06.2021,14:50:03,0.063,0.125,0.496
Sty24,21.06.2021,14:51:33,0.068,0.128,0.469
Sty25,21.06.2021,14:53:03,0.429,1.016,0.578
Sty26,21.06.2021,14:54:33,0.368,0.882,0.583
Sty27,21.06.2021,14:56:03,0.354,0.738,0.52
Sty28,21.06.2021,14:57:33,0.305,0.726,0.58
Sty29,21.06.2021,14:59:03,0.422,1.018,0.585
Sty30,21.06.2021,15:00:33,0.171,0.337,0.493
Sty31,21.06.2021,15:02:03,0.189,0.374,0.495
Sty32,21.06.2021,15:03:33,0.305,0.613,0.502
Sty33,21.06.2021,15:05:03,0.232,0.472,0.508
Sty34,21.06.2021,15:06:33,0.022,0.016,0.000
Sty34b,21.06.2021,15:07:13,0.225,0.429,0.476
Sty35,21.06.2021,15:08:03,0.698,1.522,0.541
Sty36,21.06.2021,15:09:33,0.605,1.306,0.537
Sty37,21.06.2021,15:11:03,0.513,1.103,0.535
Sty38,21.06.2021,15:12:33,0.048,0.106,0.547
Sty39,21.06.2021,15:14:03,0.078,0.145,0.462
Sty40,21.06.2021,15:15:33,0.067,0.129,0.481
Sty41,21.06.2021,15:17:03,0.065,0.125,0.48
Sty42,21.06.2021,15:18:33,0.069,0.123,0.439
